,index,xml_index,text_top,text_left,text_width,text_height,text,font_size,font_family,font_color,attrib,font_family_updated,font_size_updated,children,avg_line_height,level_0,word_coords
0,0,0,1422,455,12,17, 1.0,16,BCDEEE+Calibri,#000000,FOOTER,Calibri,15,,17.0,,"[{'text': '1.0', 'conf': 95.0, 'text_left': 1271, 'text_top': 3970, 'text_width': 17, 'text_height': 29}]"
0,,15,519,145,628,28, राज्य एवं अन्य ........प्रत्यर्थी,19,BCDFEE+Mangal,#000000,,Mangal,18,,28.0,,"[{'text': 'राज्य', 'conf': 96, 'text_left': 407, 'text_top': 1476, 'text_width': 112, 'text_height': 38}, {'text': 'एवं', 'conf': 95, 'text_left': 544, 'text_top': 1461, 'text_width': 66, 'text_height': 51}, {'text': 'अन्य', 'conf': 94, 'text_left': 636, 'text_top': 1475, 'text_width': 108, 'text_height': 37}, {'text': '........प्रत्यर्थी', 'conf': 63, 'text_left': 1885, 'text_top': 1461, 'text_width': 267, 'text_height': 53}]"
0,,17,668,108,210,28," अभय मनोहर, न्यायाधीश",19,"BCDHEE+Mangal,Bold",#000000,,"Mangal,Bold",18,,28.0,,"[{'text': 'अभय', 'conf': 95, 'text_left': 300, 'text_top': 1872, 'text_width': 119, 'text_height': 65}, {'text': 'मनोहर,', 'conf': 95, 'text_left': 450, 'text_top': 1876, 'text_width': 168, 'text_height': 57}, {'text': 'न्यायाधीश', 'conf': 93, 'text_left': 638, 'text_top': 1876, 'text_width': 223, 'text_height': 51}]"
0,,24,1170,108,712,224," 4. अपीलार्थी मकान नंबर £-11/75, (एसएफ), खसरा नंबर 2271/4, मालवीय नगर, खिरकी एक्सटेंशन, नई दिल्ली का मालिक है | अपीलार्थी ने इस मकान को प्रत्यर्थी   नंबर-3 (प्रत्यर्थी नंबर-3 का नाम पार्टियों के नाम से इस न्यायालय दवारा दिनांक 25.04.2019 के आदेश दवारा हटा दिया था) को मासिक किराये पर दिया था |",19,BCDFEE+Mangal,#000000,,Mangal,18,,28.0,,"[{'text': '4.', 'conf': 93, 'text_left': 306, 'text_top': 3280, 'text_width': 41, 'text_height': 41}, {'text': 'अपीलार्थी', 'conf': 88, 'text_left': 389, 'text_top': 3271, 'text_width': 196, 'text_height': 51}, {'text': 'मकान', 'conf': 95, 'text_left': 621, 'text_top': 3286, 'text_width': 134, 'text_height': 35}, {'text': 'नंबर', 'conf': 92, 'text_left': 791, 'text_top': 3271, 'text_width': 97, 'text_height': 53}, {'text': '£-11/75,', 'conf': 23, 'text_left': 928, 'text_top': 3280, 'text_width': 200, 'text_height': 49}, {'text': '(एसएफ),', 'conf': 89, 'text_left': 1173, 'text_top': 3280, 'text_width': 192, 'text_height': 53}, {'text': 'खसरा', 'conf': 95, 'text_left': 1407, 'text_top': 3286, 'text_width': 126, 'text_height': 38}, {'text': 'नंबर', 'conf': 95, 'text_left': 1568, 'text_top': 3271, 'text_width': 96, 'text_height': 53}, {'text': '2271/4,', 'conf': 95, 'text_left': 1702, 'text_top': 3280, 'text_width': 181, 'text_height': 49}, {'text': 'मालवीय', 'conf': 95, 'text_left': 1925, 'text_top': 3273, 'text_width': 178, 'text_height': 49}, {'text': 'नगर,', 'conf': 96, 'text_left': 2138, 'text_top': 3286, 'text_width': 111, 'text_height': 43}, {'text': 'खिरकी', 'conf': 96, 'text_left': 305, 'text_top': 3454, 'text_width': 145, 'text_height': 52}, {'text': 'एक्सटेंशन,', 'conf': 90, 'text_left': 486, 'text_top': 3453, 'text_width': 224, 'text_height': 58}, {'text': 'नई', 'conf': 96, 'text_left': 752, 'text_top': 3452, 'text_width': 69, 'text_height': 62}, {'text': 'दिल्ली', 'conf': 89, 'text_left': 856, 'text_top': 3454, 'text_width': 135, 'text_height': 54}, {'text': 'का', 'conf': 95, 'text_left': 1026, 'text_top': 3468, 'text_width': 59, 'text_height': 35}, {'text': 'मालिक', 'conf': 96, 'text_left': 1120, 'text_top': 3454, 'text_width': 155, 'text_height': 50}, {'text': 'है', 'conf': 96, 'text_left': 1310, 'text_top': 3453, 'text_width': 32, 'text_height': 58}, {'text': '|', 'conf': 93, 'text_left': 1383, 'text_top': 3463, 'text_width': 4, 'text_height': 52}, {'text': 'अपीलार्थी', 'conf': 90, 'text_left': 1431, 'text_top': 3453, 'text_width': 197, 'text_height': 51}, {'text': 'ने', 'conf': 96, 'text_left': 1664, 'text_top': 3454, 'text_width': 38, 'text_height': 49}, {'text': 'इस', 'conf': 96, 'text_left': 1738, 'text_top': 3468, 'text_width': 71, 'text_height': 46}, {'text': 'मकान', 'conf': 96, 'text_left': 1845, 'text_top': 3468, 'text_width': 135, 'text_height': 35}, {'text': 'को', 'conf': 96, 'text_left': 2016, 'text_top': 3454, 'text_width': 58, 'text_height': 49}, {'text': 'प्रत्यर्थी', 'conf': 95, 'text_left': 2110, 'text_top': 3453, 'text_width': 147, 'text_height': 53}, {'text': ' ', 'conf': 95, 'text_left': 1707, 'text_top': 3648, 'text_width': 550, 'text_height': 8}, {'text': 'नंबर-3', 'conf': 91, 'text_left': 305, 'text_top': 3635, 'text_width': 142, 'text_height': 53}, {'text': '(प्रत्यर्थी', 'conf': 93, 'text_left': 493, 'text_top': 3635, 'text_width': 163, 'text_height': 62}, {'text': 'नंबर-3', 'conf': 89, 'text_left': 696, 'text_top': 3635, 'text_width': 143, 'text_height': 52}, {'text': 'का', 'conf': 96, 'text_left': 882, 'text_top': 3650, 'text_width': 58, 'text_height': 35}, {'text': 'नाम', 'conf': 96, 'text_left': 980, 'text_top': 3650, 'text_width': 92, 'text_height': 35}, {'text': 'पार्टियों', 'conf': 94, 'text_left': 1112, 'text_top': 3634, 'text_width': 147, 'text_height': 51}, {'text': 'के', 'conf': 93, 'text_left': 1300, 'text_top': 3636, 'text_width': 44, 'text_height': 49}, {'text': 'नाम', 'conf': 95, 'text_left': 1383, 'text_top': 3650, 'text_width': 92, 'text_height': 35}, {'text': 'से', 'conf': 95, 'text_left': 1515, 'text_top': 3636, 'text_width': 41, 'text_height': 52}, {'text': 'इस', 'conf': 95, 'text_left': 1596, 'text_top': 3650, 'text_width': 71, 'text_height': 46}, {'text': 'न्यायालय', 'conf': 93, 'text_left': 1707, 'text_top': 3650, 'text_width': 207, 'text_height': 36}, {'text': 'दवारा', 'conf': 58, 'text_left': 1954, 'text_top': 3650, 'text_width': 119, 'text_height': 51}, {'text': 'दिनांक', 'conf': 96, 'text_left': 2113, 'text_top': 3635, 'text_width': 144, 'text_height': 55}, {'text': '25.04.2019', 'conf': 96, 'text_left': 307, 'text_top': 3826, 'text_width': 275, 'text_height': 42}, {'text': 'के', 'conf': 96, 'text_left': 612, 'text_top': 3818, 'text_width': 44, 'text_height': 49}, {'text': 'आदेश', 'conf': 96, 'text_left': 682, 'text_top': 3818, 'text_width': 128, 'text_height': 54}, {'text': 'दवारा', 'conf': 84, 'text_left': 836, 'text_top': 3832, 'text_width': 119, 'text_height': 51}, {'text': 'हटा', 'conf': 96, 'text_left': 980, 'text_top': 3832, 'text_width': 77, 'text_height': 43}, {'text': 'दिया', 'conf': 96, 'text_left': 1082, 'text_top': 3818, 'text_width': 100, 'text_height': 54}, {'text': 'था)', 'conf': 96, 'text_left': 1211, 'text_top': 3826, 'text_width': 64, 'text_height': 53}, {'text': 'को', 'conf': 96, 'text_left': 1307, 'text_top': 3818, 'text_width': 58, 'text_height': 49}, {'text': 'मासिक', 'conf': 96, 'text_left': 1390, 'text_top': 3818, 'text_width': 154, 'text_height': 52}, {'text': 'किराये', 'conf': 95, 'text_left': 1569, 'text_top': 3818, 'text_width': 138, 'text_height': 52}, {'text': 'पर', 'conf': 95, 'text_left': 1732, 'text_top': 3832, 'text_width': 59, 'text_height': 38}, {'text': 'दिया', 'conf': 95, 'text_left': 1817, 'text_top': 3818, 'text_width': 101, 'text_height': 54}, {'text': 'था', 'conf': 96, 'text_left': 1946, 'text_top': 3829, 'text_width': 51, 'text_height': 38}, {'text': '|', 'conf': 96, 'text_left': 2027, 'text_top': 3827, 'text_width': 4, 'text_height': 52}]"
0,0,0,1422,455,12,17, 2.0,16,BCDEEE+Calibri,#000000,FOOTER,Calibri,15,,17.0,,"[{'text': '2.0', 'conf': 96.0, 'text_left': 1270, 'text_top': 3970, 'text_width': 18, 'text_height': 29}]"
0,,29,1008,108,721,225," 8. 27.02.2015 के आदेश दवारा (सलंग्लक ?-2), रुपए 97,786/- के उपरोक्त बिल के मामले को रूपए 83,120/- की पूर्ण एवं अंतिम रकम हेतू निपटाया गया था | तदनुसार अपीलार्थी ने B55 को दिनांक 27.02.2015 के आदेश के तहत 3 बराबर किश्तों में रूपए 83,120/- का भुगतान किया | आदेश निम्न प्रकार से पढ़ा जाए:-",19,BCDFEE+Mangal,#000000,,Mangal,18,,28.0,,"[{'text': '8.', 'conf': 96, 'text_left': 307, 'text_top': 2831, 'text_width': 40, 'text_height': 42}, {'text': '27.02.2015', 'conf': 95, 'text_left': 381, 'text_top': 2831, 'text_width': 276, 'text_height': 42}, {'text': 'के', 'conf': 95, 'text_left': 715, 'text_top': 2823, 'text_width': 44, 'text_height': 49}, {'text': 'आदेश', 'conf': 96, 'text_left': 786, 'text_top': 2823, 'text_width': 128, 'text_height': 54}, {'text': 'दवारा', 'conf': 74, 'text_left': 941, 'text_top': 2837, 'text_width': 118, 'text_height': 51}, {'text': '(सलंग्लक', 'conf': 74, 'text_left': 1088, 'text_top': 2822, 'text_width': 202, 'text_height': 62}, {'text': '?-2),', 'conf': 73, 'text_left': 1321, 'text_top': 2831, 'text_width': 113, 'text_height': 53}, {'text': 'रुपए', 'conf': 93, 'text_left': 1466, 'text_top': 2837, 'text_width': 98, 'text_height': 36}, {'text': '97,786/-', 'conf': 92, 'text_left': 1592, 'text_top': 2831, 'text_width': 202, 'text_height': 49}, {'text': 'के', 'conf': 96, 'text_left': 1824, 'text_top': 2823, 'text_width': 44, 'text_height': 49}, {'text': 'उपरोक्त', 'conf': 84, 'text_left': 1894, 'text_top': 2823, 'text_width': 175, 'text_height': 52}, {'text': 'बिल', 'conf': 96, 'text_left': 2095, 'text_top': 2823, 'text_width': 91, 'text_height': 50}, {'text': 'के', 'conf': 96, 'text_left': 2212, 'text_top': 2823, 'text_width': 44, 'text_height': 49}, {'text': 'मामले', 'conf': 96, 'text_left': 305, 'text_top': 3005, 'text_width': 134, 'text_height': 50}, {'text': 'को', 'conf': 96, 'text_left': 468, 'text_top': 3005, 'text_width': 58, 'text_height': 49}, {'text': 'रूपए', 'conf': 93, 'text_left': 555, 'text_top': 3019, 'text_width': 101, 'text_height': 36}, {'text': '83,120/-', 'conf': 91, 'text_left': 687, 'text_top': 3013, 'text_width': 203, 'text_height': 49}, {'text': 'की', 'conf': 96, 'text_left': 922, 'text_top': 3005, 'text_width': 59, 'text_height': 49}, {'text': 'पूर्ण', 'conf': 96, 'text_left': 1009, 'text_top': 3003, 'text_width': 78, 'text_height': 72}, {'text': 'एवं', 'conf': 96, 'text_left': 1116, 'text_top': 3004, 'text_width': 66, 'text_height': 51}, {'text': 'अंतिम', 'conf': 94, 'text_left': 1213, 'text_top': 3004, 'text_width': 135, 'text_height': 53}, {'text': 'रकम', 'conf': 95, 'text_left': 1377, 'text_top': 3019, 'text_width': 109, 'text_height': 37}, {'text': 'हेतू', 'conf': 93, 'text_left': 1515, 'text_top': 3005, 'text_width': 74, 'text_height': 70}, {'text': 'निपटाया', 'conf': 92, 'text_left': 1611, 'text_top': 3005, 'text_width': 185, 'text_height': 49}, {'text': 'गया', 'conf': 96, 'text_left': 1824, 'text_top': 3019, 'text_width': 91, 'text_height': 35}, {'text': 'था', 'conf': 96, 'text_left': 1946, 'text_top': 3016, 'text_width': 52, 'text_height': 38}, {'text': '|', 'conf': 96, 'text_left': 2031, 'text_top': 3014, 'text_width': 4, 'text_height': 52}, {'text': 'तदनुसार', 'conf': 95, 'text_left': 2071, 'text_top': 3019, 'text_width': 185, 'text_height': 58}, {'text': 'अपीलार्थी', 'conf': 90, 'text_left': 305, 'text_top': 3186, 'text_width': 196, 'text_height': 51}, {'text': 'ने', 'conf': 96, 'text_left': 533, 'text_top': 3187, 'text_width': 38, 'text_height': 49}, {'text': 'B55', 'conf': 4, 'text_left': 608, 'text_top': 3195, 'text_width': 142, 'text_height': 42}, {'text': 'को', 'conf': 96, 'text_left': 788, 'text_top': 3187, 'text_width': 58, 'text_height': 49}, {'text': 'दिनांक', 'conf': 95, 'text_left': 878, 'text_top': 3186, 'text_width': 143, 'text_height': 55}, {'text': '27.02.2015', 'conf': 96, 'text_left': 1055, 'text_top': 3195, 'text_width': 276, 'text_height': 42}, {'text': 'के', 'conf': 94, 'text_left': 1367, 'text_top': 3187, 'text_width': 44, 'text_height': 49}, {'text': 'आदेश', 'conf': 95, 'text_left': 1444, 'text_top': 3187, 'text_width': 128, 'text_height': 54}, {'text': 'के', 'conf': 96, 'text_left': 1605, 'text_top': 3187, 'text_width': 44, 'text_height': 49}, {'text': 'तहत', 'conf': 96, 'text_left': 1681, 'text_top': 3201, 'text_width': 104, 'text_height': 43}, {'text': '3', 'conf': 96, 'text_left': 1820, 'text_top': 3195, 'text_width': 26, 'text_height': 42}, {'text': 'बराबर', 'conf': 96, 'text_left': 1882, 'text_top': 3201, 'text_width': 131, 'text_height': 38}, {'text': 'किश्तों', 'conf': 68, 'text_left': 2045, 'text_top': 3186, 'text_width': 137, 'text_height': 53}, {'text': 'में', 'conf': 96, 'text_left': 2214, 'text_top': 3186, 'text_width': 41, 'text_height': 50}, {'text': 'रूपए', 'conf': 90, 'text_left': 305, 'text_top': 3383, 'text_width': 101, 'text_height': 36}, {'text': '83,120/-', 'conf': 90, 'text_left': 434, 'text_top': 3377, 'text_width': 202, 'text_height': 49}, {'text': 'का', 'conf': 96, 'text_left': 665, 'text_top': 3383, 'text_width': 58, 'text_height': 35}, {'text': 'भुगतान', 'conf': 95, 'text_left': 750, 'text_top': 3380, 'text_width': 164, 'text_height': 61}, {'text': 'किया', 'conf': 96, 'text_left': 939, 'text_top': 3369, 'text_width': 113, 'text_height': 49}, {'text': '|', 'conf': 96, 'text_left': 1082, 'text_top': 3378, 'text_width': 4, 'text_height': 52}, {'text': 'आदेश', 'conf': 96, 'text_left': 1119, 'text_top': 3369, 'text_width': 128, 'text_height': 54}, {'text': 'निम्न', 'conf': 96, 'text_left': 1273, 'text_top': 3369, 'text_width': 124, 'text_height': 49}, {'text': 'प्रकार', 'conf': 96, 'text_left': 1421, 'text_top': 3383, 'text_width': 116, 'text_height': 38}, {'text': 'से', 'conf': 96, 'text_left': 1563, 'text_top': 3369, 'text_width': 41, 'text_height': 52}, {'text': 'पढ़ा', 'conf': 93, 'text_left': 1629, 'text_top': 3383, 'text_width': 80, 'text_height': 42}, {'text': 'जाए:-', 'conf': 24, 'text_left': 1735, 'text_top': 3383, 'text_width': 121, 'text_height': 36}]"
0,,42,1285,161,658,96," “इस मामले में, याचिकाकर्त्ता इस न्यायालय में दिनांक 15.12.2004 की जाँच के आधार पर रुपए 97,786/- के D7 बिल के सम्बन्ध में निपटान हेतु आए थे |",19,"BCDHEE+Mangal,Bold",#000000,,"Mangal,Bold",18,,29.0,,"[{'text': '“इस', 'conf': 70, 'text_left': 456, 'text_top': 3602, 'text_width': 88, 'text_height': 50}, {'text': 'मामले', 'conf': 96, 'text_left': 573, 'text_top': 3594, 'text_width': 134, 'text_height': 49}, {'text': 'में,', 'conf': 93, 'text_left': 737, 'text_top': 3590, 'text_width': 51, 'text_height': 59}, {'text': 'याचिकाकर्त्ता', 'conf': 84, 'text_left': 823, 'text_top': 3592, 'text_width': 255, 'text_height': 50}, {'text': 'इस', 'conf': 96, 'text_left': 1107, 'text_top': 3607, 'text_width': 71, 'text_height': 45}, {'text': 'न्यायालय', 'conf': 90, 'text_left': 1208, 'text_top': 3607, 'text_width': 208, 'text_height': 36}, {'text': 'में', 'conf': 93, 'text_left': 1445, 'text_top': 3590, 'text_width': 41, 'text_height': 52}, {'text': 'दिनांक', 'conf': 94, 'text_left': 1515, 'text_top': 3591, 'text_width': 143, 'text_height': 56}, {'text': '15.12.2004', 'conf': 95, 'text_left': 1693, 'text_top': 3602, 'text_width': 273, 'text_height': 41}, {'text': 'की', 'conf': 95, 'text_left': 1998, 'text_top': 3593, 'text_width': 59, 'text_height': 49}, {'text': 'जाँच', 'conf': 87, 'text_left': 2086, 'text_top': 3590, 'text_width': 96, 'text_height': 52}, {'text': 'के', 'conf': 96, 'text_left': 2212, 'text_top': 3594, 'text_width': 44, 'text_height': 48}, {'text': 'आधार', 'conf': 96, 'text_left': 452, 'text_top': 3786, 'text_width': 136, 'text_height': 41}, {'text': 'पर', 'conf': 96, 'text_left': 620, 'text_top': 3789, 'text_width': 59, 'text_height': 38}, {'text': 'रुपए', 'conf': 92, 'text_left': 712, 'text_top': 3789, 'text_width': 97, 'text_height': 37}, {'text': '97,786/-', 'conf': 91, 'text_left': 844, 'text_top': 3784, 'text_width': 201, 'text_height': 47}, {'text': 'के', 'conf': 96, 'text_left': 1081, 'text_top': 3776, 'text_width': 44, 'text_height': 48}, {'text': 'D7', 'conf': 85, 'text_left': 1162, 'text_top': 3784, 'text_width': 70, 'text_height': 40}, {'text': 'बिल', 'conf': 96, 'text_left': 1268, 'text_top': 3775, 'text_width': 90, 'text_height': 50}, {'text': 'के', 'conf': 96, 'text_left': 1391, 'text_top': 3776, 'text_width': 44, 'text_height': 48}, {'text': 'सम्बन्ध', 'conf': 95, 'text_left': 1467, 'text_top': 3786, 'text_width': 171, 'text_height': 41}, {'text': 'में', 'conf': 96, 'text_left': 1670, 'text_top': 3772, 'text_width': 41, 'text_height': 52}, {'text': 'निपटान', 'conf': 96, 'text_left': 1743, 'text_top': 3775, 'text_width': 170, 'text_height': 49}, {'text': 'हेतु', 'conf': 96, 'text_left': 1945, 'text_top': 3776, 'text_width': 68, 'text_height': 70}, {'text': 'आए', 'conf': 95, 'text_left': 2045, 'text_top': 3788, 'text_width': 90, 'text_height': 37}, {'text': 'थे', 'conf': 96, 'text_left': 2170, 'text_top': 3776, 'text_width': 38, 'text_height': 48}, {'text': '|', 'conf': 96, 'text_left': 2243, 'text_top': 3785, 'text_width': 7, 'text_height': 50}]"
0,0,0,1422,455,12,17, 3.0,16,BCDEEE+Calibri,#000000,FOOTER,Calibri,15,,17.0,,"[{'text': '3.0', 'conf': 92.0, 'text_left': 1269, 'text_top': 3969, 'text_width': 19, 'text_height': 30}]"
0,,24,1125,161,659,224, यह भी माना गया कि पहली दो किश्‍श्तें जमा करने के बाद याचिकाकर्त्ता के द्वारा नए कनेक्शन के निर्मोचन हेतु अनुरोध जल्दी एवं तत्काल पूरा किया जायेगा और नया कनेक्शन दूसरी किश्त के जमा करने की तारीख से एक सप्ताह के भीतर इस शर्त पर निर्मोचित किया जाएगा जिसमें संबंधित औपचारिकताओं के,19,"BCDHEE+Mangal,Bold",#000000,,"Mangal,Bold",18,,29.0,,"[{'text': 'यह', 'conf': 96, 'text_left': 605, 'text_top': 3160, 'text_width': 67, 'text_height': 43}, {'text': 'भी', 'conf': 95, 'text_left': 702, 'text_top': 3146, 'text_width': 53, 'text_height': 49}, {'text': 'माना', 'conf': 96, 'text_left': 782, 'text_top': 3160, 'text_width': 107, 'text_height': 35}, {'text': 'गया', 'conf': 96, 'text_left': 916, 'text_top': 3160, 'text_width': 91, 'text_height': 35}, {'text': 'कि', 'conf': 94, 'text_left': 1034, 'text_top': 3146, 'text_width': 61, 'text_height': 49}, {'text': 'पहली', 'conf': 95, 'text_left': 1122, 'text_top': 3146, 'text_width': 118, 'text_height': 57}, {'text': 'दो', 'conf': 93, 'text_left': 1267, 'text_top': 3146, 'text_width': 47, 'text_height': 54}, {'text': 'किश्\u200dश्तें', 'conf': 45, 'text_left': 1343, 'text_top': 3143, 'text_width': 122, 'text_height': 55}, {'text': 'जमा', 'conf': 96, 'text_left': 1493, 'text_top': 3160, 'text_width': 98, 'text_height': 35}, {'text': 'करने', 'conf': 96, 'text_left': 1618, 'text_top': 3147, 'text_width': 106, 'text_height': 51}, {'text': 'के', 'conf': 96, 'text_left': 1752, 'text_top': 3147, 'text_width': 44, 'text_height': 48}, {'text': 'बाद', 'conf': 93, 'text_left': 1823, 'text_top': 3160, 'text_width': 79, 'text_height': 39}, {'text': 'याचिकाकर्त्ता', 'conf': 88, 'text_left': 1930, 'text_top': 3145, 'text_width': 254, 'text_height': 50}, {'text': 'के', 'conf': 95, 'text_left': 2212, 'text_top': 3147, 'text_width': 44, 'text_height': 48}, {'text': 'द्वारा', 'conf': 92, 'text_left': 452, 'text_top': 3342, 'text_width': 119, 'text_height': 53}, {'text': 'नए', 'conf': 96, 'text_left': 611, 'text_top': 3342, 'text_width': 70, 'text_height': 36}, {'text': 'कनेक्शन', 'conf': 89, 'text_left': 722, 'text_top': 3329, 'text_width': 190, 'text_height': 50}, {'text': 'के', 'conf': 92, 'text_left': 953, 'text_top': 3329, 'text_width': 44, 'text_height': 48}, {'text': 'निर्मोचन', 'conf': 59, 'text_left': 1036, 'text_top': 3327, 'text_width': 185, 'text_height': 50}, {'text': 'हेतु', 'conf': 95, 'text_left': 1260, 'text_top': 3329, 'text_width': 68, 'text_height': 70}, {'text': 'अनुरोध', 'conf': 96, 'text_left': 1368, 'text_top': 3328, 'text_width': 159, 'text_height': 71}, {'text': 'जल्दी', 'conf': 93, 'text_left': 1566, 'text_top': 3328, 'text_width': 121, 'text_height': 54}, {'text': 'एवं', 'conf': 96, 'text_left': 1726, 'text_top': 3326, 'text_width': 67, 'text_height': 52}, {'text': 'तत्काल', 'conf': 94, 'text_left': 1833, 'text_top': 3342, 'text_width': 158, 'text_height': 38}, {'text': 'पूरा', 'conf': 96, 'text_left': 2031, 'text_top': 3342, 'text_width': 74, 'text_height': 55}, {'text': 'किया', 'conf': 96, 'text_left': 2144, 'text_top': 3328, 'text_width': 112, 'text_height': 49}, {'text': 'जायेगा', 'conf': 95, 'text_left': 452, 'text_top': 3511, 'text_width': 147, 'text_height': 48}, {'text': 'और', 'conf': 95, 'text_left': 626, 'text_top': 3508, 'text_width': 84, 'text_height': 54}, {'text': 'नया', 'conf': 96, 'text_left': 737, 'text_top': 3524, 'text_width': 89, 'text_height': 35}, {'text': 'कनेक्शन', 'conf': 85, 'text_left': 854, 'text_top': 3511, 'text_width': 191, 'text_height': 50}, {'text': 'दूसरी', 'conf': 93, 'text_left': 1072, 'text_top': 3510, 'text_width': 112, 'text_height': 69}, {'text': 'किश्त', 'conf': 72, 'text_left': 1211, 'text_top': 3510, 'text_width': 122, 'text_height': 52}, {'text': 'के', 'conf': 95, 'text_left': 1360, 'text_top': 3511, 'text_width': 44, 'text_height': 48}, {'text': 'जमा', 'conf': 96, 'text_left': 1432, 'text_top': 3524, 'text_width': 97, 'text_height': 35}, {'text': 'करने', 'conf': 96, 'text_left': 1557, 'text_top': 3511, 'text_width': 105, 'text_height': 51}, {'text': 'की', 'conf': 96, 'text_left': 1690, 'text_top': 3510, 'text_width': 58, 'text_height': 49}, {'text': 'तारीख', 'conf': 96, 'text_left': 1775, 'text_top': 3510, 'text_width': 137, 'text_height': 52}, {'text': 'से', 'conf': 95, 'text_left': 1939, 'text_top': 3511, 'text_width': 41, 'text_height': 51}, {'text': 'एक', 'conf': 96, 'text_left': 2008, 'text_top': 3524, 'text_width': 76, 'text_height': 36}, {'text': 'सप्ताह', 'conf': 95, 'text_left': 2111, 'text_top': 3524, 'text_width': 145, 'text_height': 43}, {'text': 'के', 'conf': 96, 'text_left': 452, 'text_top': 3692, 'text_width': 44, 'text_height': 48}, {'text': 'भीतर', 'conf': 96, 'text_left': 525, 'text_top': 3691, 'text_width': 115, 'text_height': 52}, {'text': 'इस', 'conf': 95, 'text_left': 667, 'text_top': 3705, 'text_width': 70, 'text_height': 45}, {'text': 'शर्त', 'conf': 95, 'text_left': 766, 'text_top': 3690, 'text_width': 76, 'text_height': 53}, {'text': 'पर', 'conf': 92, 'text_left': 868, 'text_top': 3705, 'text_width': 60, 'text_height': 38}, {'text': 'निर्मोचित', 'conf': 46, 'text_left': 955, 'text_top': 3690, 'text_width': 200, 'text_height': 53}, {'text': 'किया', 'conf': 95, 'text_left': 1182, 'text_top': 3691, 'text_width': 112, 'text_height': 49}, {'text': 'जाएगा', 'conf': 95, 'text_left': 1321, 'text_top': 3705, 'text_width': 142, 'text_height': 36}, {'text': 'जिसमें', 'conf': 95, 'text_left': 1490, 'text_top': 3688, 'text_width': 140, 'text_height': 55}, {'text': 'संबंधित', 'conf': 93, 'text_left': 1658, 'text_top': 3689, 'text_width': 165, 'text_height': 54}, {'text': 'औपचारिकताओं', 'conf': 88, 'text_left': 1850, 'text_top': 3689, 'text_width': 335, 'text_height': 54}, {'text': 'के', 'conf': 96, 'text_left': 2212, 'text_top': 3692, 'text_width': 44, 'text_height': 48}]"
0,0,0,1422,455,12,17, 4.0,16,BCDEEE+Calibri,#000000,FOOTER,Calibri,15,,17.0,,"[{'text': '4.0', 'conf': 96.0, 'text_left': 1268, 'text_top': 3970, 'text_width': 21, 'text_height': 29}]"
